count	reward_sum	squared_reward_sum	length
223	1.5694386274511913	10016.930042666992	1054
224	192.76746292092872	30.620801165525354	1546
225	194.530901572586	30.436466526323763	1514
226	19.632314323197832	10020.399597296484	1065
227	-34.45758175199363	10011.011011440249	625
228	-8.142614268524227	10016.016099220658	804
229	21.87708895307408	10021.43568938241	1061
230	188.23099569547054	30.288037647995306	1655
231	197.83204436760138	35.06666373181221	1509
232	199.53832917608398	35.30162508861261	1412
233	203.31758786575855	36.84866000143252	1348
234	199.78031352245773	34.9246575855284	1456
235	202.4844670779548	36.26113448104138	1350
236	195.92166835675707	32.308814300351685	1480
237	199.12324658116032	35.3370534198796	1376
238	198.24614890330594	34.18253622522807	1404
239	196.42658108661166	34.785963443432365	1374
240	199.70823101212932	37.89372282583174	1296
241	204.21637958738114	40.862821769014175	1216
242	204.1883240978589	40.6634669806738	1221
243	205.11610815175436	42.95948477369005	1171
244	206.07261565916818	42.648085524000926	1160
245	208.48223306537403	45.73537583039467	1114
246	207.9564611905535	47.91807526840772	1066
247	208.2351208156316	46.94167093916145	1088
248	-56.365499070348335	10010.400314119606	269
249	207.11049489278227	46.62600968750579	1077
250	206.64569347457012	46.96352693493073	1044
251	208.4611697588955	46.19649645441335	1082
252	-1.1199020525680226	10022.790730863866	527
253	206.29667097670315	46.78369088022125	1066
254	208.74694678524682	45.84358408607875	1105
255	209.90468686978295	44.37286384594548	1146
256	210.29214867084602	44.56931753885032	1133
257	210.80326500140563	46.19731478396967	1108
258	210.3364182116464	45.76739561951421	1105
259	212.49633787412463	46.97516213399126	1117
260	211.95361467349792	45.734166959911406	1114
261	212.17872259064274	45.32534216801808	1145
262	212.26077606633024	45.348799918884275	1145
263	213.19280080732153	47.85721908474542	1083
264	215.44222013868222	48.24625508676446	1079
265	213.9203468949941	47.588774289792845	1092
266	214.0419894989118	46.64953177765588	1112
267	216.1244709953012	49.07863114475483	1079
268	215.88506665970175	50.04647062134142	1052
269	216.01881062938168	49.44477850879451	1056
270	217.44450781340618	49.61089950489646	1075
271	216.18840295575458	50.835673223970225	1043
272	216.7441192188226	50.583973605330506	1038
273	216.61268655176985	50.61512527953794	1040
274	217.83162316321426	52.807895893582106	1005
275	216.92138848386622	52.05579607614557	1018
276	218.76212184511633	53.81867625794993	994
277	218.85947611631133	52.803083936073975	1008
278	218.6448590093854	55.55189151511512	960
279	217.86367148850422	54.99382413060029	958
280	218.67978695630904	54.5881485479954	970
281	220.22683958541003	56.48738948414259	944
282	219.69054544596617	55.590619037345995	964
283	220.15751234115353	56.53656976667168	952
284	220.25433658680058	55.54762036142768	972
285	221.2280746922959	55.148716247742186	988
286	220.56117804450983	58.466454575130534	930
287	218.9635610487177	55.94114530386275	960
288	220.17294221465272	56.95743275290866	953
289	220.40735268191054	57.889008753200365	932
290	222.3282073896009	58.81719779150322	922
291	221.74073574826835	58.91313797911496	933
292	221.44153436235987	58.929056852464846	918
293	222.46558982702254	62.16912490505235	875
294	221.41538365125027	63.12291760020534	863
295	-14.010317121874905	10024.15712335084	401
296	223.41667905454233	60.49780410961056	900
297	91.99023140452758	10051.452465152324	817
298	221.25577659491384	59.85060218384075	914
299	-30.76494069932913	10018.092358093838	333
300	223.2505204002108	61.60698364735388	878
301	51.34093825997496	10040.84493936654	646
302	222.0455840740511	61.07570909226098	889
303	222.49422106998847	60.47403076493088	898
304	222.48641773681078	60.99549145027932	884
305	220.3712520362577	60.54343491604437	898
306	223.0302618582181	62.3620176060197	867
307	223.0573620309199	63.27657343933273	868
308	223.19446582011435	62.74836731794969	864
309	221.71540470941991	62.69619592002948	854
310	220.94674435812675	61.05408509009913	880
311	221.29430157095567	62.187949279453186	855
312	220.2163190444641	60.95829986730066	872
313	224.10584372524767	65.34743869588758	839
314	222.8072528319148	63.088415709035516	862
315	223.73021641992844	65.61880258394795	830
316	-60.87437190516224	10009.54705065178	232
317	222.56904213301456	66.44285124158318	816
318	222.99647598907308	65.62978584477823	829
319	223.08334391385594	66.0303138444227	820
320	223.32756931720937	66.80482802891476	821
321	224.07492851786412	66.29557609984138	829
322	222.04050364808512	63.86873457581737	845
323	223.66361667030375	67.37927793036496	813
324	222.9255032760756	65.93651609088394	821
325	222.7483410612577	66.29085414643743	814
326	221.414020524741	65.5586315738547	823
327	221.35436115767686	64.21492590706153	833
328	222.33160214952815	65.48597588231816	825
329	223.08080990464242	65.82919222881839	821
330	222.6641559751327	66.51228430210168	814
331	222.38538547425762	64.99774075248449	827
332	223.8553331587842	68.36710593227183	803
333	223.31010592613634	68.37723475243682	802
334	224.1366438910555	67.8910207858515	812
335	223.63592129094792	66.3580928771008	829
336	224.5446677213008	67.4478813887739	816
337	224.4421488691548	67.10612555661751	817
338	225.24590367724613	68.37826184420499	807
339	224.820585664335	68.5941837171097	807
340	224.61688422746823	69.04854505252632	793
341	223.1162483696143	67.73355129245698	817
342	222.4022667945799	65.44716757411841	828
343	224.58336688096483	67.60257235752566	812
344	224.69954509726855	68.07523266441139	804
345	223.3827658056846	67.1745675741927	813
346	224.54224691257411	67.34589948320493	829
347	225.06385312109518	69.27522776913594	797
348	225.28211801842355	69.85657679808861	793
349	225.1280111436707	68.34871358054829	812
350	224.9767802282737	69.12685180835949	796
351	225.6455345305842	69.56968101526051	804
352	222.24848895106248	65.52816162198698	836
353	2.623699330555681	10029.063762160731	430
354	225.7130628349595	70.64744419475369	782
355	225.3718091004702	69.93523056521711	791
356	224.8752128969685	69.90887754070502	793
357	225.23935382917406	69.62111204339642	794
358	224.48184330741302	67.80395028053428	824
359	225.19883658201277	69.61348777721703	803
360	224.31900740287145	66.99351030811202	828
361	224.2210688976423	67.6696291648151	824
362	225.48587928835607	68.86067132976525	808
363	226.78245580649855	71.27404109382809	786
364	224.30209737494528	67.92539484251819	823
365	225.05895323802227	68.04492453382812	813
366	224.43921287754853	67.0637933613767	830
367	225.82628723267692	69.93100862446083	805
